variant,m,k,n,processes,nodes,run_label,unique_checksum_hashes,status
mpi_2d,64,48,32,2,2,node_sweep,1,OK
mpi,64,48,32,1,1,process_sweep,1,OK
mpi,64,48,32,2,1,process_sweep,1,OK
mpi,64,48,32,4,1,process_sweep,1,OK
mpi_2d,64,48,32,1,1,process_sweep,1,OK
mpi_2d,64,48,32,2,1,process_sweep,1,OK
mpi_2d,64,48,32,4,1,process_sweep,1,OK
mpi_tiled,64,48,32,1,1,process_sweep,1,OK
mpi_tiled,64,48,32,2,1,process_sweep,1,OK
mpi_tiled,64,48,32,4,1,process_sweep,1,OK
seq,64,48,32,1,1,process_sweep,1,OK
seq_tiled,64,48,32,1,1,process_sweep,1,OK
