variant,m,k,n,processes,nodes,run_label,unique_checksum_hashes,status
mpi,4096,4096,4096,44,3,report_confirm,1,OK
mpi_2d,4096,4096,4096,16,3,report_confirm,1,OK
mpi_tiled,4096,4096,4096,44,3,report_confirm,1,OK
mpi_2d,4096,4096,4096,25,3,report_grid_sweep,1,OK
mpi_2d,4096,4096,4096,36,3,report_grid_sweep,1,OK
mpi_2d,10000,10000,10000,16,3,report_large_10000,1,OK
mpi_2d,10000,10000,10000,16,3,report_large_10000_opt,1,OK
mpi,1024,1024,1024,16,3,report_medium,1,OK
mpi,1024,1024,1024,32,3,report_medium,1,OK
mpi,1024,1024,1024,44,3,report_medium,1,OK
mpi_2d,1024,1024,1024,16,3,report_medium,1,OK
mpi_2d,1024,1024,1024,32,3,report_medium,1,OK
mpi_2d,1024,1024,1024,44,3,report_medium,1,OK
mpi_tiled,1024,1024,1024,16,3,report_medium,1,OK
mpi_tiled,1024,1024,1024,32,3,report_medium,1,OK
mpi_tiled,1024,1024,1024,44,3,report_medium,1,OK
mpi,2048,2048,2048,16,3,report_medium,1,OK
mpi,2048,2048,2048,32,3,report_medium,1,OK
mpi,2048,2048,2048,44,3,report_medium,1,OK
mpi_2d,2048,2048,2048,16,3,report_medium,1,OK
mpi_2d,2048,2048,2048,32,3,report_medium,1,OK
mpi_2d,2048,2048,2048,44,3,report_medium,1,OK
mpi_tiled,2048,2048,2048,16,3,report_medium,1,OK
mpi_tiled,2048,2048,2048,32,3,report_medium,1,OK
mpi_tiled,2048,2048,2048,44,3,report_medium,1,OK
mpi_2d,4096,4096,4096,16,3,report_panel_sweep,1,OK
