variant,m,k,n,processes,nodes,tile,repeat_index,seconds,checksum_sum,checksum_abs,checksum_max_abs,checksum_hash,run_label,mapping,pe,threads_per_process,sample_file,full_file,source_file
mpi,1024,1024,1024,16,3,32,0,7.527131256,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_4_6_6,1,1,,,results/report_medium_raw.csv
mpi_tiled,1024,1024,1024,16,3,32,0,7.283346407,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_4_6_6,1,1,,,results/report_medium_raw.csv
mpi_2d,1024,1024,1024,16,3,32,0,2.872479494,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_4_6_6,1,1,,,results/report_medium_raw.csv
mpi,1024,1024,1024,32,3,32,0,6.263025687,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_8_12_12,1,1,,,results/report_medium_raw.csv
mpi_tiled,1024,1024,1024,32,3,32,0,5.786859458,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_8_12_12,1,1,,,results/report_medium_raw.csv
mpi_2d,1024,1024,1024,32,3,32,0,5.396551685,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_8_12_12,1,1,,,results/report_medium_raw.csv
mpi,1024,1024,1024,44,3,32,0,4.780923992,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_12_16_16,1,1,,,results/report_medium_raw.csv
mpi_tiled,1024,1024,1024,44,3,32,0,5.213925758,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_12_16_16,1,1,,,results/report_medium_raw.csv
mpi_2d,1024,1024,1024,44,3,32,0,7.537107604,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_12_16_16,1,1,,,results/report_medium_raw.csv
mpi,2048,2048,2048,16,3,32,0,25.625391055,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_4_6_6,1,1,,,results/report_medium_raw.csv
mpi_tiled,2048,2048,2048,16,3,32,0,21.145743626,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_4_6_6,1,1,,,results/report_medium_raw.csv
mpi_2d,2048,2048,2048,16,3,32,0,10.297413238,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_4_6_6,1,1,,,results/report_medium_raw.csv
mpi,2048,2048,2048,32,3,32,0,15.003731242,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_8_12_12,1,1,,,results/report_medium_raw.csv
mpi_tiled,2048,2048,2048,32,3,32,0,14.926325694,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_8_12_12,1,1,,,results/report_medium_raw.csv
mpi_2d,2048,2048,2048,32,3,32,0,17.375671058,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_8_12_12,1,1,,,results/report_medium_raw.csv
mpi,2048,2048,2048,44,3,32,0,12.437783859,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_12_16_16,1,1,,,results/report_medium_raw.csv
mpi_tiled,2048,2048,2048,44,3,32,0,11.564410076,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_12_16_16,1,1,,,results/report_medium_raw.csv
mpi_2d,2048,2048,2048,44,3,32,0,24.285452263,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_12_16_16,1,1,,,results/report_medium_raw.csv
mpi_2d,4096,4096,4096,16,3,32,0,34.113050730,17178352257343432,17178352257343432,1096509498,99a5a38cbc1e12b7,report_confirm,slots_4_6_6,1,1,,,results/report_confirm_raw.csv
mpi_tiled,4096,4096,4096,44,3,32,0,36.425534650,17178352257339180,17178352257339180,1096509498,99a5a38cbc1e12b7,report_confirm,slots_12_16_16,1,1,,,results/report_confirm_raw.csv
mpi,4096,4096,4096,44,3,32,0,122.705486940,17178352257339180,17178352257339180,1096509498,99a5a38cbc1e12b7,report_confirm,slots_12_16_16,1,1,,,results/report_confirm_raw.csv
mpi_2d,4096,4096,4096,16,3,1024,0,36.468881455,17178352257343432,17178352257343432,1096509498,99a5a38cbc1e12b7,report_panel_sweep,slots_4_6_6_panel_1024,1,1,,,results/report_panel_sweep_raw.csv
mpi_2d,4096,4096,4096,16,3,2048,0,34.405575449,17178352257343432,17178352257343432,1096509498,99a5a38cbc1e12b7,report_panel_sweep,slots_4_6_6_panel_2048,1,1,,,results/report_panel_sweep_raw.csv
mpi_2d,4096,4096,4096,16,3,4096,0,33.862474654,17178352257343432,17178352257343432,1096509498,99a5a38cbc1e12b7,report_panel_sweep,slots_4_6_6_panel_4096,1,1,,,results/report_panel_sweep_raw.csv
mpi_2d,4096,4096,4096,25,3,4096,0,42.395486681,17178352257343432,17178352257343432,1096509498,99a5a38cbc1e12b7,report_grid_sweep,slots_7_9_9_grid_5x5,1,1,,,results/report_grid_sweep_raw.csv
mpi_2d,4096,4096,4096,36,3,4096,0,51.703727793,17178352257343434,17178352257343434,1096509498,99a5a38cbc1e12b7,report_grid_sweep,slots_10_13_13_grid_6x6,1,1,,,results/report_grid_sweep_raw.csv
mpi_2d,10000,10000,10000,16,3,32,0,214.210281597,2.5001135404454214e+17,2.5001135404454214e+17,2619315240,c14405814301863a,report_large_10000,slots_4_6_6,1,1,,,results/report_large_10000_raw.csv
mpi_2d,10000,10000,10000,16,3,10000,0,194.533927698,2.5001135404454214e+17,2.5001135404454214e+17,2619315240,c14405814301863a,report_large_10000_opt,slots_4_6_6_panel_10000,1,1,,,results/report_large_10000_opt_raw.csv
