variant,m,k,n,processes,nodes,tile,repeat_index,seconds,checksum_sum,checksum_abs,checksum_max_abs,checksum_hash,run_label,mapping,pe,threads_per_process,sample_file,full_file
mpi,1024,1024,1024,16,3,32,0,7.527131256,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_4_6_6,1,1,,
mpi_tiled,1024,1024,1024,16,3,32,0,7.283346407,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_4_6_6,1,1,,
mpi_2d,1024,1024,1024,16,3,32,0,2.872479494,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_4_6_6,1,1,,
mpi,1024,1024,1024,32,3,32,0,6.263025687,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_8_12_12,1,1,,
mpi_tiled,1024,1024,1024,32,3,32,0,5.786859458,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_8_12_12,1,1,,
mpi_2d,1024,1024,1024,32,3,32,0,5.396551685,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_8_12_12,1,1,,
mpi,1024,1024,1024,44,3,32,0,4.780923992,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_12_16_16,1,1,,
mpi_tiled,1024,1024,1024,44,3,32,0,5.213925758,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_12_16_16,1,1,,
mpi_2d,1024,1024,1024,44,3,32,0,7.537107604,268930244973588,268930244973588,289595645,7303585a77c34a74,report_medium,slots_12_16_16,1,1,,
mpi,2048,2048,2048,16,3,32,0,25.625391055,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_4_6_6,1,1,,
mpi_tiled,2048,2048,2048,16,3,32,0,21.145743626,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_4_6_6,1,1,,
mpi_2d,2048,2048,2048,16,3,32,0,10.297413238,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_4_6_6,1,1,,
mpi,2048,2048,2048,32,3,32,0,15.003731242,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_8_12_12,1,1,,
mpi_tiled,2048,2048,2048,32,3,32,0,14.926325694,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_8_12_12,1,1,,
mpi_2d,2048,2048,2048,32,3,32,0,17.375671058,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_8_12_12,1,1,,
mpi,2048,2048,2048,44,3,32,0,12.437783859,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_12_16_16,1,1,,
mpi_tiled,2048,2048,2048,44,3,32,0,11.564410076,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_12_16_16,1,1,,
mpi_2d,2048,2048,2048,44,3,32,0,24.285452263,2147202409604900,2147202409604900,560140257,eb3bcbdd1e4476ee,report_medium,slots_12_16_16,1,1,,
