variant,m,k,n,processes,nodes,tile,run_label,mapping,pe,runs,time_avg_sec,time_min_sec,time_std_sec,baseline_time_sec,speedup,efficiency,amdahl_serial_fraction,amdahl_parallel_fraction,amdahl_speedup,amdahl_max_speedup,checksum_hashes
mpi_2d,64,48,32,2,2,32,node_sweep,ppr:1:node:PE=1,1,1,0.010775148,0.010775148,0.000000000,,,,,,,,1
mpi,64,48,32,1,1,32,process_sweep,bind_to_core,1,1,0.000166863,0.000166863,0.000000000,0.000166863,1.000000,1.000000,,,,,1
mpi,64,48,32,2,1,32,process_sweep,bind_to_core,1,1,0.000247782,0.000247782,0.000000000,0.000166863,0.673427,0.336713,1.000000,0.000000,1.000000,1.000000,1
mpi,64,48,32,4,1,32,process_sweep,bind_to_core,1,1,0.000159197,0.000159197,0.000000000,0.000166863,1.048154,0.262039,0.938744,0.061256,1.048154,1.065253,1
mpi_2d,64,48,32,1,1,32,process_sweep,bind_to_core,1,1,0.000166455,0.000166455,0.000000000,0.000166455,1.000000,1.000000,,,,,1
mpi_2d,64,48,32,2,1,32,process_sweep,bind_to_core,1,1,0.000313020,0.000313020,0.000000000,0.000166455,0.531771,0.265886,1.000000,0.000000,1.000000,1.000000,1
mpi_2d,64,48,32,4,1,32,process_sweep,bind_to_core,1,1,0.000405086,0.000405086,0.000000000,0.000166455,0.410913,0.102728,1.000000,0.000000,1.000000,1.000000,1
mpi_tiled,64,48,32,1,1,32,process_sweep,bind_to_core,1,1,0.000136678,0.000136678,0.000000000,0.000136678,1.000000,1.000000,,,,,1
mpi_tiled,64,48,32,2,1,32,process_sweep,bind_to_core,1,1,0.000122975,0.000122975,0.000000000,0.000136678,1.111429,0.555715,0.799485,0.200515,1.111429,1.250805,1
mpi_tiled,64,48,32,4,1,32,process_sweep,bind_to_core,1,1,0.000307888,0.000307888,0.000000000,0.000136678,0.443921,0.110980,1.000000,0.000000,1.000000,1.000000,1
seq,64,48,32,1,1,32,process_sweep,bind_to_core,1,1,0.000128534,0.000128534,0.000000000,0.000128534,1.000000,1.000000,,,,,1
seq_tiled,64,48,32,1,1,32,process_sweep,bind_to_core,1,1,0.000100208,0.000100208,0.000000000,0.000100208,1.000000,1.000000,,,,,1
